userid,score,City,Gender,Age,Objects,Balance,Products,estimated_salary
15677338,619,Ярославль,Ж,42,2,,1,101348.88
15690047,608,Рыбинск,Ж,41,1,83807.86,1,112542.58
15662040,502,Ярославль,Ж,42,8,159660.8,3,113931.57
15744090,699,Ярославль,Ж,39,1,,2,93826.63
15780624,850,Рыбинск,Ж,43,2,125510.82,1,79084.1
15616748,645,Рыбинск,М,44,8,113755.78,2,149756.71
15635267,822,Ярославль,М,50,7,,2,10062.8
15698884,376,Ростов Великий,Ж,29,4,115046.74,4,119346.88
15835101,501,Ярославль,М,44,4,142051.07,2,74940.5
15635125,684,Ярославль,М,27,2,134603.88,1,71725.73
15810557,528,Ярославль,М,31,6,102016.72,2,80181.12
15779909,497,Рыбинск,М,24,3,,2,76390.01
15675000,476,Ярославль,Ж,34,10,,2,26260.98
15734219,549,Ярославль,Ж,25,5,,2,190857.79
15643618,635,Рыбинск,Ж,35,7,,2,65951.65
15686702,616,Ростов Великий,М,45,3,143129.41,2,64327.26
15780188,653,Ростов Великий,М,58,1,132602.88,1,5097.67
15830954,549,Рыбинск,Ж,24,9,,2,14406.41
15704243,587,Рыбинск,М,45,6,,1,158684.81
15611718,726,Ярославль,Ж,24,6,,2,54724.03
15620393,732,Ярославль,М,41,8,,2,170886.17
15640681,636,Рыбинск,Ж,32,8,,2,138555.46
15742045,510,Рыбинск,Ж,38,4,,1,118913.53
15768473,669,Ярославль,М,46,3,,2,8487.75
15667783,846,Ярославль,Ж,38,5,,1,187616.16
15780927,577,Ярославль,М,25,3,,2,124508.29
15779552,756,Ростов Великий,М,36,2,136815.64,1,170041.95
15743508,571,Ярославль,М,44,9,,2,38433.35
15771429,574,Ростов Великий,Ж,43,3,141349.43,1,100187.43
15699036,411,Ярославль,М,29,0,59697.17,2,53483.21
15632211,591,Рыбинск,Ж,39,3,,3,140469.38
15749288,533,Ярославль,М,36,7,85311.7,1,156731.91
15792917,553,Ростов Великий,М,41,9,110112.54,2,81898.81
15702164,520,Рыбинск,Ж,42,6,,2,34410.55
15775699,722,Рыбинск,Ж,29,9,,2,142033.07
15836907,475,Ярославль,Ж,45,0,134264.04,1,27822.99
15831184,490,Рыбинск,М,31,3,145260.23,1,114066.77
15772335,804,Рыбинск,М,33,7,76548.6,1,98453.45
15760162,850,Ярославль,М,36,7,,1,40812.9
15628504,582,Ростов Великий,М,41,6,70349.48,2,178074.04
15662096,472,Рыбинск,М,40,4,,1,70154.22
15780884,465,Ярославль,Ж,51,8,122522.32,1,181297.65
15730682,556,Ярославль,Ж,61,2,117419.35,1,94153.83
15797932,834,Ярославль,Ж,49,2,131394.56,1,194365.76
15726907,660,Рыбинск,Ж,61,5,155931.11,1,158338.39
15797585,776,Ростов Великий,Ж,32,4,109421.13,2,126517.46
15645016,829,Ростов Великий,Ж,27,9,112045.67,1,119708.21
15814309,637,Ростов Великий,Ж,39,9,137843.8,1,117622.8
15808941,550,Ростов Великий,М,38,2,103391.38,1,90878.13
15814609,776,Ростов Великий,Ж,37,2,103769.22,2,194099.12
15659286,698,Ростов Великий,М,44,10,116363.37,2,198059.16
15810929,585,Ростов Великий,М,36,5,146050.97,2,86424.57
15726289,788,Ярославль,Ж,33,5,,2,116978.19
15745034,655,Ростов Великий,М,41,8,125561.97,1,164040.94
15612326,601,Ростов Великий,М,42,1,98495.72,1,40014.76
15803597,619,Ярославль,М,43,1,125211.92,1,113410.49
15672789,656,Ярославль,М,45,5,127864.4,1,87107.57
15689827,725,Ростов Великий,М,19,0,75888.2,1,45613.75
15666680,511,Рыбинск,Ж,66,4,,1,1643.11
15847507,614,Ярославль,М,51,4,40685.92,1,46775.28
15694016,742,Ростов Великий,М,35,5,136857.0,1,84509.57
15816205,687,Ростов Великий,Ж,27,9,152328.88,2,126494.82
15744750,555,Рыбинск,М,33,1,56084.69,2,178798.13
15793944,684,Рыбинск,М,56,8,78707.16,1,99398.36
15635197,603,Ростов Великий,М,26,4,109166.37,1,92840.67
15832220,751,Ростов Великий,Ж,36,6,169831.46,2,27758.36
15738797,581,Ростов Великий,Ж,34,1,101633.04,1,110431.51
15684318,735,Ростов Великий,М,43,10,123180.01,2,196673.28
15681160,661,Ростов Великий,Ж,35,5,150725.53,2,113656.85
15798384,675,Ярославль,Ж,21,8,98373.26,1,18203.0
15746529,738,Ростов Великий,М,58,2,133745.44,4,28373.86
15663080,813,Ярославль,М,29,6,,1,33953.87
15855254,657,Рыбинск,Ж,37,0,163607.18,1,44203.55
15821788,604,Ростов Великий,Ж,25,5,157780.84,2,58426.81
15813547,519,Ярославль,М,36,9,,2,145562.4
15823697,735,Ярославль,Ж,21,1,178718.19,2,22388.0
15656785,664,Ярославль,М,55,8,,2,139161.64
15704821,678,Ярославль,Ж,32,9,,1,148210.64
15617921,757,Рыбинск,М,33,5,77253.22,1,194239.63
15845872,416,Ростов Великий,Ж,41,10,122189.66,2,98301.61
15748757,665,Ярославль,Ж,34,1,96645.54,2,171413.66
15706442,777,Ярославль,Ж,32,2,,1,136458.19
15684468,543,Ярославль,Ж,36,3,,2,26019.59
15743900,506,Ярославль,Ж,34,4,90307.62,1,159235.29
15781487,493,Ярославль,Ж,46,4,,2,1907.66
15847990,652,Рыбинск,Ж,75,10,,2,114675.75
15805154,750,Рыбинск,М,22,3,121681.82,1,128643.35
15668495,729,Ярославль,М,30,9,,2,151869.35
15665633,646,Ярославль,Ж,46,4,,3,93251.42
15810690,635,Ростов Великий,Ж,28,3,81623.67,2,156791.36
15800271,647,Рыбинск,Ж,44,5,,3,174205.22
